area,area_name,education_category,tot_emp,pct_total ,emp_prse,h_mean,a_mean,mean_prse ,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90
  10180,"Abilene, TX",Doctoral or professional degree,"1,620",2.5,12.0,62.99,"131,030",9.3,17.22,30.80,47.98,80.63,#,"35,820","64,060","99,800","167,720",#
  10180,"Abilene, TX",Master's degree,"1,270",2.0,9.6,33.16,"68,980",3.7,16.86,22.49,28.98,39.91,56.39,"35,070","46,770","60,270","83,020","117,280"
  10180,"Abilene, TX",Bachelor's degree,"11,150",17.3,6.7,30.64,"63,730",4.3,13.54,20.08,26.37,35.71,49.99,"28,160","41,770","54,860","74,270","103,980"
  10180,"Abilene, TX",Associate's degree,"1,610",2.5,9.1,25.18,"52,360",3.5,11.90,17.67,23.57,31.24,39.85,"24,750","36,760","49,030","64,990","82,880"
  10180,"Abilene, TX",Postsecondary nondegree award,"5,160",8.0,8.0,18.67,"38,830",3.1,10.43,12.75,17.71,23.02,29.16,"21,690","26,520","36,840","47,880","60,660"
  10180,"Abilene, TX","Some college, no degree","1,470",2.3,4.5,14.50,"30,160",3.9,8.62,10.16,13.13,17.43,22.80,"17,940","21,120","27,310","36,250","47,430"
  10180,"Abilene, TX",High school diploma or equivalent,"25,020",38.8,3.0,17.71,"36,830",1.3,9.11,11.54,15.60,21.00,29.08,"18,950","24,000","32,450","43,680","60,480"
  10180,"Abilene, TX",No formal educational credential,"17,150",26.6,2.5,11.45,"23,820",1.7,8.00,8.68,9.97,12.81,17.17,"16,640","18,060","20,730","26,650","35,720"
  10380,"Aguadilla-Isabela, PR",Doctoral or professional degree,670,1.5,8.3,31.32,"65,140",5.4,13.47,19.47,29.67,40.10,54.61,"28,010","40,500","61,700","83,400","113,590"
  10380,"Aguadilla-Isabela, PR",Master's degree,680,1.5,5.8,19.22,"39,980",1.3,11.11,13.90,18.70,23.76,28.97,"23,100","28,920","38,890","49,430","60,260"
  10380,"Aguadilla-Isabela, PR",Bachelor's degree,"9,850",22.3,1.4,21.47,"44,660",2.5,10.87,14.59,19.40,24.49,35.78,"22,620","30,350","40,350","50,940","74,410"
  10380,"Aguadilla-Isabela, PR",Associate's degree,950,2.2,7.1,15.60,"32,450",4.0,8.26,9.55,13.33,20.14,24.84,"17,170","19,850","27,720","41,900","51,680"
  10380,"Aguadilla-Isabela, PR",Postsecondary nondegree award,"1,480",3.3,5.0,9.52,"19,800",2.4,7.79,8.18,8.83,9.54,11.57,"16,190","17,010","18,360","19,830","24,060"
  10380,"Aguadilla-Isabela, PR","Some college, no degree",900,2.0,3.3,9.99,"20,790",1.4,7.84,8.29,9.04,10.64,14.27,"16,310","17,240","18,800","22,140","29,680"
  10380,"Aguadilla-Isabela, PR",High school diploma or equivalent,"17,010",38.5,2.1,10.53,"21,910",1.6,7.82,8.29,9.07,11.13,15.47,"16,270","17,250","18,870","23,140","32,190"
  10380,"Aguadilla-Isabela, PR",No formal educational credential,"12,640",28.6,2.7,8.75,"18,190",0.8,7.76,8.10,8.67,9.24,9.73,"16,150","16,860","18,040","19,210","20,240"
  10420,"Akron, OH",Doctoral or professional degree,"9,860",3.0,6.4,63.06,"131,160",7.9,19.00,30.44,50.31,79.90,#,"39,520","63,310","104,650","166,180",#
  10420,"Akron, OH",Master's degree,"6,330",1.9,5.3,35.47,"73,780",3.8,16.48,21.61,30.88,44.36,57.66,"34,290","44,940","64,220","92,270","119,930"
  10420,"Akron, OH",Bachelor's degree,"68,630",20.9,3.2,36.98,"76,910",1.5,17.29,24.72,32.83,43.04,59.93,"35,970","51,410","68,280","89,520","124,650"
  10420,"Akron, OH",Associate's degree,"6,910",2.1,5.4,24.61,"51,180",2.7,12.35,17.30,24.57,30.48,37.02,"25,690","35,980","51,100","63,390","77,000"
  10420,"Akron, OH",Postsecondary nondegree award,"21,940",6.7,3.0,18.31,"38,080",1.4,10.52,13.00,17.20,22.33,28.09,"21,880","27,040","35,780","46,440","58,430"
  10420,"Akron, OH","Some college, no degree","7,820",2.4,8.1,17.90,"37,240",1.6,10.42,13.98,17.19,20.65,25.92,"21,680","29,070","35,760","42,940","53,900"
  10420,"Akron, OH",High school diploma or equivalent,"130,110",39.6,2.1,19.14,"39,810",0.7,9.80,12.56,16.78,23.14,31.12,"20,380","26,120","34,900","48,130","64,740"
  10420,"Akron, OH",No formal educational credential,"76,620",23.3,2.0,12.21,"25,390",1.1,8.69,9.09,10.13,13.74,18.31,"18,080","18,900","21,070","28,570","38,090"
  10500,"Albany, GA",Doctoral or professional degree,"1,230",2.0,8.6,60.35,"125,530",9.6,18.89,24.78,48.59,76.35,#,"39,290","51,530","101,060","158,810",#
  10500,"Albany, GA",Master's degree,920,1.5,7.4,33.33,"69,320",4.5,15.88,21.49,30.09,41.05,54.41,"33,030","44,700","62,580","85,380","113,170"
  10500,"Albany, GA",Bachelor's degree,"10,440",17.2,3.4,31.16,"64,810",2.7,15.10,20.30,27.59,36.06,48.54,"31,410","42,230","57,390","75,000","100,950"
  10500,"Albany, GA",Associate's degree,"1,130",1.9,6.0,22.14,"46,050",3.9,10.75,15.37,21.47,28.07,35.66,"22,350","31,970","44,650","58,390","74,170"
  10500,"Albany, GA",Postsecondary nondegree award,"4,630",7.6,14.5,17.45,"36,300",2.7,9.60,12.76,16.79,20.14,27.17,"19,960","26,530","34,920","41,900","56,520"
  10500,"Albany, GA","Some college, no degree","1,540",2.5,9.0,14.16,"29,450",4.0,8.02,8.82,11.42,18.28,24.43,"16,680","18,350","23,760","38,020","50,810"
  10500,"Albany, GA",High school diploma or equivalent,"24,630",40.6,4.6,16.83,"35,000",3.0,8.78,10.80,14.36,19.80,28.60,"18,260","22,470","29,870","41,190","59,480"
  10500,"Albany, GA",No formal educational credential,"16,190",26.7,3.7,10.87,"22,620",1.7,7.92,8.51,9.53,11.82,15.71,"16,480","17,700","19,820","24,580","32,670"
  10540,"Albany, OR",Doctoral or professional degree,820,1.9,4.7,65.25,"135,720",6.7,22.84,28.38,44.06,93.56,#,"47,500","59,030","91,640","194,610",#
  10540,"Albany, OR",Master's degree,580,1.4,7.3,37.91,"78,850",6.2,20.78,25.98,34.04,45.60,57.88,"43,230","54,040","70,810","94,850","120,390"
  10540,"Albany, OR",Bachelor's degree,"6,590",15.4,5.3,32.69,"67,990",2.2,14.89,21.34,30.43,39.51,50.84,"30,970","44,390","63,290","82,180","105,740"
  10540,"Albany, OR",Associate's degree,750,1.8,11.8,26.78,"55,710",4.3,12.74,18.93,26.19,35.03,41.03,"26,500","39,370","54,480","72,850","85,340"
  10540,"Albany, OR",Postsecondary nondegree award,"2,760",6.5,4.4,20.88,"43,420",3.3,12.72,15.46,18.56,24.41,33.63,"26,450","32,150","38,610","50,780","69,940"
  10540,"Albany, OR","Some college, no degree","1,470",3.4,6.1,16.10,"33,490",2.7,9.67,11.85,14.85,18.67,23.84,"20,110","24,640","30,880","38,830","49,590"
  10540,"Albany, OR",High school diploma or equivalent,"18,400",43.0,2.8,19.91,"41,420",1.9,10.96,13.53,17.86,24.18,31.49,"22,790","28,150","37,140","50,300","65,510"
  10540,"Albany, OR",No formal educational credential,"11,410",26.7,2.9,13.70,"28,490",1.7,10.01,10.76,12.09,15.57,19.73,"20,820","22,390","25,140","32,380","41,040"
  10580,"Albany-Schenectady-Troy, NY",Doctoral or professional degree,"16,740",3.7,5.4,55.99,"116,450",4.4,23.58,30.58,45.88,68.15,#,"49,050","63,610","95,430","141,750",#
  10580,"Albany-Schenectady-Troy, NY",Master's degree,"10,130",2.3,3.1,36.87,"76,690",2.4,17.14,23.93,32.93,46.85,60.49,"35,640","49,770","68,500","97,440","125,820"
  10580,"Albany-Schenectady-Troy, NY",Bachelor's degree,"109,110",24.3,1.9,38.62,"80,330",1.1,19.13,26.11,34.96,46.26,61.27,"39,800","54,310","72,720","96,220","127,450"
  10580,"Albany-Schenectady-Troy, NY",Associate's degree,"11,470",2.6,4.8,26.07,"54,230",1.8,13.00,18.55,25.29,32.58,38.75,"27,050","38,580","52,610","67,760","80,600"
  10580,"Albany-Schenectady-Troy, NY",Postsecondary nondegree award,"24,310",5.4,2.3,18.86,"39,230",1.7,10.88,13.45,17.44,22.49,29.01,"22,640","27,970","36,270","46,770","60,350"
  10580,"Albany-Schenectady-Troy, NY","Some college, no degree","15,740",3.5,3.7,18.56,"38,600",1.9,10.40,12.61,17.15,22.44,28.59,"21,640","26,240","35,670","46,670","59,470"
  10580,"Albany-Schenectady-Troy, NY",High school diploma or equivalent,"164,510",36.7,2.0,21.31,"44,320",0.7,10.96,13.82,18.67,25.97,35.27,"22,810","28,740","38,830","54,020","73,370"
  10580,"Albany-Schenectady-Troy, NY",No formal educational credential,"96,140",21.5,1.4,13.47,"28,020",1.0,9.73,10.10,11.67,14.91,19.91,"20,230","21,000","24,280","31,000","41,410"
  10740,"Albuquerque, NM",Doctoral or professional degree,"11,150",2.9,3.0,60.65,"126,150",6.8,24.45,33.78,47.75,74.42,#,"50,860","70,260","99,330","154,800",#
  10740,"Albuquerque, NM",Master's degree,"7,520",2.0,3.9,34.16,"71,050",3.6,14.97,22.18,30.58,44.54,57.57,"31,140","46,140","63,600","92,650","119,740"
  10740,"Albuquerque, NM",Bachelor's degree,"81,140",21.3,1.8,37.28,"77,540",3.4,16.31,23.45,32.79,46.29,63.09,"33,930","48,780","68,200","96,280","131,240"
  10740,"Albuquerque, NM",Associate's degree,"11,140",2.9,3.8,26.26,"54,620",4.4,12.32,17.35,24.31,33.47,42.27,"25,610","36,090","50,570","69,620","87,910"
  10740,"Albuquerque, NM",Postsecondary nondegree award,"22,540",5.9,3.2,18.04,"37,520",1.5,10.78,13.20,16.64,21.41,27.92,"22,420","27,460","34,620","44,530","58,080"
  10740,"Albuquerque, NM","Some college, no degree","8,520",2.2,8.4,19.84,"41,280",7.7,8.58,10.70,14.75,20.73,28.02,"17,840","22,250","30,680","43,110","58,270"
  10740,"Albuquerque, NM",High school diploma or equivalent,"149,600",39.2,1.5,17.53,"36,470",1.0,9.49,11.61,15.46,21.17,28.69,"19,750","24,150","32,160","44,040","59,680"
  10740,"Albuquerque, NM",No formal educational credential,"89,590",23.5,1.6,11.86,"24,680",1.3,8.27,8.98,10.54,13.27,17.49,"17,210","18,670","21,930","27,610","36,370"
  10780,"Alexandria, LA",Doctoral or professional degree,"1,070",1.8,16.5,58.35,"121,360",9.8,21.31,26.83,49.43,72.69,#,"44,320","55,800","102,810","151,200",#
  10780,"Alexandria, LA",Master's degree,"1,130",1.9,7.6,31.49,"65,500",4.7,15.87,20.06,25.95,36.63,50.89,"33,010","41,710","53,980","76,190","105,840"
  10780,"Alexandria, LA",Bachelor's degree,"10,630",17.6,3.3,28.63,"59,550",4.3,16.16,20.22,25.69,33.73,43.95,"33,620","42,060","53,440","70,150","91,420"
  10780,"Alexandria, LA",Associate's degree,"1,340",2.2,7.8,21.98,"45,710",3.4,10.45,15.58,21.72,27.45,33.38,"21,730","32,400","45,170","57,100","69,430"
  10780,"Alexandria, LA",Postsecondary nondegree award,"4,470",7.4,4.8,16.40,"34,100",2.7,9.10,11.12,15.37,19.52,24.97,"18,920","23,130","31,960","40,600","51,930"
  10780,"Alexandria, LA","Some college, no degree","1,390",2.3,4.7,13.81,"28,720",9.8,7.98,8.72,12.61,17.97,22.68,"16,600","18,140","26,230","37,380","47,180"
  10780,"Alexandria, LA",High school diploma or equivalent,"26,330",43.6,2.6,16.48,"34,270",2.0,8.81,10.54,14.42,19.98,27.61,"18,320","21,920","30,000","41,550","57,420"
  10780,"Alexandria, LA",No formal educational credential,"14,090",23.3,2.6,10.61,"22,070",1.4,7.92,8.48,9.45,11.77,15.16,"16,470","17,640","19,650","24,470","31,540"
  10900,"Allentown-Bethlehem-Easton, PA-NJ",Doctoral or professional degree,"9,190",2.6,12.2,62.42,"129,830",5.4,21.49,31.55,51.25,78.94,#,"44,690","65,620","106,600","164,210",#
  10900,"Allentown-Bethlehem-Easton, PA-NJ",Master's degree,"6,630",1.8,6.0,36.07,"75,020",3.7,14.80,21.80,32.61,47.30,62.54,"30,780","45,350","67,830","98,370","130,080"
  10900,"Allentown-Bethlehem-Easton, PA-NJ",Bachelor's degree,"62,610",17.4,2.6,38.28,"79,620",1.5,18.84,25.77,33.61,45.18,61.91,"39,180","53,600","69,910","93,980","128,770"
  10900,"Allentown-Bethlehem-Easton, PA-NJ",Associate's degree,"8,860",2.5,4.6,26.02,"54,120",2.0,14.06,18.59,25.00,32.30,38.93,"29,250","38,670","52,000","67,190","80,970"
  10900,"Allentown-Bethlehem-Easton, PA-NJ",Postsecondary nondegree award,"26,150",7.3,3.1,19.49,"40,540",1.4,11.97,14.43,18.36,23.59,29.20,"24,890","30,010","38,190","49,060","60,740"
  10900,"Allentown-Bethlehem-Easton, PA-NJ","Some college, no degree","8,990",2.5,4.1,16.72,"34,780",2.1,8.90,11.24,15.71,20.15,26.83,"18,500","23,380","32,670","41,910","55,810"
  10900,"Allentown-Bethlehem-Easton, PA-NJ",High school diploma or equivalent,"141,360",39.4,1.8,19.70,"40,970",0.7,10.00,12.66,17.36,24.03,31.82,"20,810","26,330","36,110","49,990","66,180"
  10900,"Allentown-Bethlehem-Easton, PA-NJ",No formal educational credential,"95,140",26.5,2.2,12.86,"26,760",0.9,8.31,9.32,11.65,15.00,19.20,"17,290","19,390","24,240","31,190","39,940"
  11020,"Altoona, PA",Doctoral or professional degree,"1,060",1.9,7.4,61.76,"128,460",11.4,21.21,33.33,47.73,76.63,#,"44,120","69,320","99,280","159,380",#
  11020,"Altoona, PA",Master's degree,"1,500",2.6,13.9,33.01,"68,650",9.8,12.71,16.98,26.25,38.99,65.63,"26,440","35,320","54,590","81,100","136,500"
  11020,"Altoona, PA",Bachelor's degree,"8,740",15.3,4.5,31.68,"65,890",2.1,14.03,21.46,28.76,37.26,49.09,"29,180","44,640","59,820","77,500","102,110"
  11020,"Altoona, PA",Associate's degree,"1,230",2.2,9.0,21.40,"44,510",3.7,10.69,15.22,20.31,27.43,33.41,"22,240","31,660","42,240","57,060","69,490"
  11020,"Altoona, PA",Postsecondary nondegree award,"4,740",8.3,7.2,17.60,"36,620",2.4,10.65,13.38,16.78,21.49,26.34,"22,160","27,830","34,910","44,700","54,790"
  11020,"Altoona, PA","Some college, no degree","1,100",1.9,9.1,14.20,"29,530",2.5,8.59,10.31,13.53,17.40,20.93,"17,870","21,450","28,150","36,200","43,540"
  11020,"Altoona, PA",High school diploma or equivalent,"23,830",41.7,3.3,16.91,"35,160",1.7,8.78,10.85,15.21,20.56,27.82,"18,260","22,580","31,630","42,770","57,860"
  11020,"Altoona, PA",No formal educational credential,"14,960",26.2,3.9,11.46,"23,840",1.4,8.01,8.71,10.17,13.06,16.91,"16,650","18,120","21,150","27,170","35,170"
  11100,"Amarillo, TX",Doctoral or professional degree,"2,970",2.6,7.6,57.56,"119,730",11.3,19.90,24.59,40.60,74.68,#,"41,400","51,140","84,450","155,340",#
  11100,"Amarillo, TX",Master's degree,"2,040",1.8,10.6,31.21,"64,920",3.0,16.11,20.87,28.14,37.43,50.07,"33,510","43,420","58,540","77,850","104,150"
  11100,"Amarillo, TX",Bachelor's degree,"18,940",16.5,7.1,33.67,"70,040",1.9,15.17,21.88,28.94,38.94,57.12,"31,560","45,520","60,200","81,000","118,820"
  11100,"Amarillo, TX",Associate's degree,"2,270",2.0,5.5,25.63,"53,320",4.7,12.51,17.41,24.95,33.39,38.33,"26,020","36,200","51,900","69,450","79,730"
  11100,"Amarillo, TX",Postsecondary nondegree award,"7,270",6.3,5.2,20.15,"41,920",2.3,11.24,13.94,18.40,25.39,31.30,"23,380","29,000","38,280","52,810","65,110"
  11100,"Amarillo, TX","Some college, no degree","2,280",2.0,10.8,16.64,"34,620",3.6,8.90,11.40,14.72,19.72,26.47,"18,520","23,720","30,610","41,020","55,070"
  11100,"Amarillo, TX",High school diploma or equivalent,"46,590",40.7,1.9,19.05,"39,630",1.0,9.54,12.28,16.75,23.29,32.23,"19,840","25,540","34,830","48,440","67,050"
  11100,"Amarillo, TX",No formal educational credential,"32,130",28.1,2.0,12.24,"25,450",2.5,8.12,8.96,10.70,14.14,18.29,"16,900","18,630","22,250","29,410","38,040"
  11180,"Ames, IA",Doctoral or professional degree,"2,530",5.8,2.7,54.03,"112,380",7.0,24.51,33.26,46.31,64.57,93.78,"50,990","69,170","96,320","134,310","195,060"
  11180,"Ames, IA",Master's degree,"1,080",2.5,4.1,40.88,"85,030",6.1,20.07,25.28,35.21,48.41,70.65,"41,740","52,590","73,230","100,690","146,950"
  11180,"Ames, IA",Bachelor's degree,"10,120",23.0,2.3,33.93,"70,570",2.1,16.46,23.15,30.39,39.73,53.09,"34,230","48,150","63,220","82,640","110,420"
  11180,"Ames, IA",Associate's degree,"1,600",3.6,7.3,22.90,"47,640",3.9,11.03,15.85,22.54,29.33,36.15,"22,940","32,970","46,890","61,010","75,190"
  11180,"Ames, IA",Postsecondary nondegree award,"2,430",5.5,7.7,18.92,"39,350",2.7,12.37,14.17,17.77,22.85,28.18,"25,720","29,460","36,960","47,540","58,620"
  11180,"Ames, IA","Some college, no degree",990,2.3,18.0,16.31,"33,930",3.5,9.14,11.02,15.06,20.71,26.30,"19,000","22,930","31,310","43,080","54,700"
  11180,"Ames, IA",High school diploma or equivalent,"14,660",33.3,4.7,19.54,"40,650",2.2,9.78,13.24,18.28,24.25,30.44,"20,350","27,540","38,010","50,440","63,310"
  11180,"Ames, IA",No formal educational credential,"10,560",24.0,3.8,11.96,"24,880",2.4,8.13,8.94,10.56,13.57,18.46,"16,900","18,590","21,960","28,240","38,400"
  11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Doctoral or professional degree,"38,130",2.4,3.9,68.69,"142,880",3.6,25.53,36.97,57.13,88.58,#,"53,100","76,890","118,820","184,250",#
  11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Master's degree,"21,850",1.4,4.6,39.42,"81,980",2.1,16.64,24.20,36.96,51.42,64.36,"34,620","50,330","76,870","106,960","133,870"
  11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Bachelor's degree,"386,860",23.9,1.2,46.33,"96,370",1.0,18.76,27.83,40.59,57.17,78.61,"39,010","57,880","84,420","118,920","163,500"
  11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Associate's degree,"37,000",2.3,3.3,28.56,"59,410",2.0,14.05,18.18,26.30,36.84,47.75,"29,230","37,810","54,710","76,630","99,320"
  11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Postsecondary nondegree award,"72,050",4.5,2.6,21.42,"44,560",1.3,11.68,14.38,19.30,26.78,33.87,"24,290","29,900","40,130","55,710","70,450"
  11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division","Some college, no degree","43,430",2.7,3.0,22.17,"46,120",1.1,13.28,16.68,20.98,26.47,32.13,"27,610","34,690","43,630","55,070","66,820"
  11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",High school diploma or equivalent,"604,760",37.4,0.9,21.73,"45,200",0.7,10.98,13.08,18.13,26.58,37.15,"22,830","27,200","37,710","55,280","77,280"
  11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",No formal educational credential,"412,120",25.5,1.2,14.33,"29,810",0.9,10.34,10.81,11.92,15.11,21.63,"21,500","22,490","24,780","31,430","44,990"
  11260,"Anchorage, AK",Doctoral or professional degree,"3,850",2.2,6.0,67.46,"140,310",7.0,26.44,36.74,54.76,85.28,#,"54,980","76,420","113,910","177,390",#
  11260,"Anchorage, AK",Master's degree,"3,690",2.1,3.3,40.16,"83,520",2.5,19.86,27.31,38.35,50.59,63.28,"41,320","56,810","79,780","105,220","131,630"
  11260,"Anchorage, AK",Bachelor's degree,"40,320",23.2,1.9,45.17,"93,950",2.4,22.33,29.98,40.13,53.85,72.83,"46,440","62,350","83,460","112,000","151,480"
  11260,"Anchorage, AK",Associate's degree,"4,850",2.8,5.9,33.17,"68,990",3.5,16.50,22.43,31.52,42.12,51.72,"34,320","46,640","65,560","87,600","107,570"
  11260,"Anchorage, AK",Postsecondary nondegree award,"10,750",6.2,4.3,26.46,"55,040",2.1,15.16,18.36,24.30,32.96,40.64,"31,540","38,180","50,550","68,560","84,520"
  11260,"Anchorage, AK","Some college, no degree","4,590",2.6,4.1,22.29,"46,370",3.0,14.16,17.31,21.30,26.39,31.13,"29,460","36,010","44,310","54,880","64,750"
  11260,"Anchorage, AK",High school diploma or equivalent,"66,250",38.2,1.8,23.36,"48,590",1.6,12.10,15.41,20.51,28.77,38.81,"25,160","32,040","42,660","59,840","80,720"
  11260,"Anchorage, AK",No formal educational credential,"39,120",22.6,2.6,15.23,"31,690",1.3,10.08,10.88,12.78,17.38,24.11,"20,960","22,630","26,580","36,150","50,150"
  11460,"Ann Arbor, MI",Doctoral or professional degree,"12,870",6.0,0.9,58.36,"121,390",6.2,18.01,28.65,49.31,76.99,#,"37,460","59,600","102,570","160,140",#
  11460,"Ann Arbor, MI",Master's degree,"5,700",2.7,2.3,43.25,"89,960",3.5,20.35,26.87,38.13,52.64,73.17,"42,330","55,900","79,310","109,500","152,200"
  11460,"Ann Arbor, MI",Bachelor's degree,"61,810",28.9,1.9,35.56,"73,970",7.1,13.34,21.96,30.88,43.93,60.08,"27,740","45,680","64,230","91,370","124,970"
  11460,"Ann Arbor, MI",Associate's degree,"6,770",3.2,2.2,24.57,"51,110",3.4,12.78,17.11,23.62,30.33,37.66,"26,590","35,590","49,140","63,090","78,320"
  11460,"Ann Arbor, MI",Postsecondary nondegree award,"11,610",5.4,4.1,19.46,"40,470",1.9,12.22,14.12,17.73,23.79,30.02,"25,420","29,370","36,870","49,490","62,450"
  11460,"Ann Arbor, MI","Some college, no degree","4,790",2.2,4.1,18.31,"38,080",2.4,9.68,12.15,16.99,22.86,29.09,"20,140","25,270","35,340","47,550","60,510"
  11460,"Ann Arbor, MI",High school diploma or equivalent,"70,280",32.8,2.0,19.16,"39,860",3.0,9.76,11.78,16.68,23.38,31.71,"20,300","24,500","34,700","48,630","65,950"
  11460,"Ann Arbor, MI",No formal educational credential,"40,160",18.8,2.2,12.69,"26,400",1.3,9.11,9.45,11.09,14.33,18.70,"18,950","19,660","23,060","29,810","38,890"
  11500,"Anniston-Oxford-Jacksonville, AL",Doctoral or professional degree,840,1.9,5.1,53.31,"110,880",7.9,23.15,31.13,42.58,64.42,99.08,"48,140","64,760","88,560","134,000","206,090"
  11500,"Anniston-Oxford-Jacksonville, AL",Master's degree,760,1.8,10.7,29.40,"61,150",4.3,15.31,20.58,27.87,35.80,46.76,"31,840","42,800","57,970","74,460","97,250"
  11500,"Anniston-Oxford-Jacksonville, AL",Bachelor's degree,"5,800",13.4,3.9,30.77,"64,010",2.9,17.43,21.72,27.36,35.63,48.14,"36,260","45,180","56,900","74,110","100,130"
  11500,"Anniston-Oxford-Jacksonville, AL",Associate's degree,810,1.9,9.3,21.57,"44,860",3.2,12.35,16.27,21.23,25.72,31.10,"25,680","33,850","44,160","53,500","64,690"
  11500,"Anniston-Oxford-Jacksonville, AL",Postsecondary nondegree award,"3,240",7.5,9.5,16.52,"34,350",3.3,9.35,11.80,15.13,20.22,26.47,"19,450","24,550","31,460","42,060","55,060"
  11500,"Anniston-Oxford-Jacksonville, AL","Some college, no degree","1,020",2.4,19.5,14.16,"29,450",3.8,8.51,10.68,13.50,16.21,22.02,"17,700","22,220","28,090","33,710","45,810"
  11500,"Anniston-Oxford-Jacksonville, AL",High school diploma or equivalent,"19,710",45.7,2.9,16.91,"35,170",3.3,8.74,10.95,15.38,21.56,25.70,"18,180","22,770","32,000","44,850","53,460"
  11500,"Anniston-Oxford-Jacksonville, AL",No formal educational credential,"10,950",25.4,2.7,10.82,"22,500",2.0,7.89,8.46,9.42,12.09,15.91,"16,420","17,590","19,580","25,140","33,100"
  11540,"Appleton, WI",Doctoral or professional degree,"1,640",1.3,8.5,74.15,"154,230",7.3,30.25,39.50,57.30,#,#,"62,920","82,170","119,180",#,#
  11540,"Appleton, WI",Master's degree,"2,200",1.8,7.8,30.07,"62,550",9.1,10.70,14.45,27.37,42.29,52.73,"22,250","30,060","56,930","87,960","109,680"
  11540,"Appleton, WI",Bachelor's degree,"21,800",17.7,3.6,36.07,"75,020",1.6,18.27,24.32,31.54,42.39,58.01,"38,010","50,590","65,590","88,160","120,660"
  11540,"Appleton, WI",Associate's degree,"3,110",2.5,9.8,22.96,"47,760",3.7,11.56,15.58,22.38,29.39,35.89,"24,050","32,400","46,550","61,120","74,640"
  11540,"Appleton, WI",Postsecondary nondegree award,"7,650",6.2,7.4,19.47,"40,490",3.2,11.71,14.57,18.02,23.42,29.98,"24,360","30,310","37,480","48,710","62,350"
  11540,"Appleton, WI","Some college, no degree","3,190",2.6,7.5,17.37,"36,130",3.1,9.25,12.78,16.23,21.42,27.06,"19,240","26,590","33,760","44,550","56,280"
  11540,"Appleton, WI",High school diploma or equivalent,"54,630",44.2,3.0,19.95,"41,490",1.2,10.62,13.37,17.94,23.96,31.15,"22,080","27,800","37,310","49,830","64,780"
  11540,"Appleton, WI",No formal educational credential,"29,260",23.7,2.6,12.76,"26,550",1.4,8.18,9.13,11.37,15.18,19.42,"17,020","18,980","23,640","31,560","40,390"
  11640,"Arecibo, PR",Doctoral or professional degree,880,3.2,6.1,24.57,"51,110",5.0,8.07,9.12,22.13,34.97,43.97,"16,790","18,970","46,020","72,740","91,450"
  11640,"Arecibo, PR",Master's degree,500,1.8,7.7,18.74,"38,990",3.3,9.03,12.51,17.33,23.30,29.64,"18,780","26,020","36,040","48,460","61,650"
  11640,"Arecibo, PR",Bachelor's degree,"4,540",16.4,2.2,18.32,"38,110",1.9,9.46,13.11,16.50,21.41,25.42,"19,680","27,260","34,320","44,530","52,880"
  11640,"Arecibo, PR",Associate's degree,370,1.3,5.8,14.05,"29,220",3.8,8.22,9.51,12.86,17.56,21.29,"17,100","19,780","26,750","36,520","44,290"
  11640,"Arecibo, PR",Postsecondary nondegree award,"1,270",4.6,5.4,10.91,"22,700",4.8,7.80,8.25,9.00,10.77,15.68,"16,230","17,160","18,720","22,400","32,620"
  11640,"Arecibo, PR","Some college, no degree",630,2.3,4.2,10.22,"21,250",1.8,7.85,8.32,9.09,11.77,14.65,"16,340","17,300","18,900","24,490","30,480"
  11640,"Arecibo, PR",High school diploma or equivalent,"10,780",38.9,3.7,11.47,"23,850",2.6,7.86,8.38,9.26,11.99,16.72,"16,350","17,440","19,250","24,940","34,780"
  11640,"Arecibo, PR",No formal educational credential,"8,750",31.6,4.6,9.11,"18,960",1.7,7.77,8.12,8.70,9.29,10.12,"16,150","16,880","18,100","19,330","21,040"
  11700,"Asheville, NC",Doctoral or professional degree,"4,710",2.5,3.7,64.88,"134,940",6.5,25.13,33.00,48.79,88.18,#,"52,280","68,640","101,480","183,410",#
  11700,"Asheville, NC",Master's degree,"3,810",2.0,4.0,33.41,"69,490",3.6,18.26,22.12,29.50,43.03,55.78,"37,970","46,010","61,350","89,510","116,020"
  11700,"Asheville, NC",Bachelor's degree,"30,100",15.7,1.8,32.04,"66,650",1.3,16.06,20.95,27.50,37.07,51.18,"33,410","43,570","57,210","77,110","106,460"
  11700,"Asheville, NC",Associate's degree,"4,940",2.6,5.6,22.97,"47,780",2.9,13.15,16.75,21.92,28.32,34.81,"27,340","34,840","45,590","58,910","72,390"
  11700,"Asheville, NC",Postsecondary nondegree award,"15,720",8.2,4.1,17.07,"35,510",1.7,10.49,12.69,15.59,20.23,25.23,"21,820","26,390","32,430","42,080","52,490"
